datetime,signal,instrument,strike,entry,exit,pnl
2023-01-02 11:25:00+05:30,-1,NIFTY05JAN2318200CE,18200.0,94.75,94.3,0.45000000000000284
2023-01-02 12:15:00+05:30,1,NIFTY05JAN2318200CE,18200.0,98.15,99.4,1.25
2023-01-02 12:30:00+05:30,-1,NIFTY05JAN2318150CE,18150.0,111.55,115.2,-3.6500000000000057
2023-01-02 13:10:00+05:30,1,NIFTY05JAN2318150CE,18150.0,118.8,118.0,-0.7999999999999972
2023-01-02 13:45:00+05:30,-1,NIFTY05JAN2318200CE,18200.0,87.85,89.55,-1.7000000000000028
2023-01-02 14:40:00+05:30,1,NIFTY05JAN2318150CE,18150.0,101.5,100.4,-1.0999999999999943
2023-01-03 09:20:00+05:30,-1,NIFTY05JAN2318150CE,18150.0,99.45,98.25,1.2000000000000028
2023-01-03 09:45:00+05:30,1,NIFTY05JAN2318200CE,18200.0,84.05,86.25,2.200000000000003
2023-01-03 10:50:00+05:30,-1,NIFTY05JAN2318200CE,18200.0,98.4,100.9,-2.5
2023-01-03 11:10:00+05:30,1,NIFTY05JAN2318250CE,18250.0,76.3,77.3,1.0
2023-01-03 11:25:00+05:30,-1,NIFTY05JAN2318250CE,18250.0,73.5,75.0,-1.5
2023-01-03 11:35:00+05:30,1,NIFTY05JAN2318250CE,18250.0,75.75,76.6,0.8499999999999943
2023-01-03 11:40:00+05:30,-1,NIFTY05JAN2318250CE,18250.0,74.25,73.1,1.1500000000000057
2023-01-03 12:45:00+05:30,1,NIFTY05JAN2318200CE,18200.0,74.8,76.0,1.2000000000000028
2023-01-03 15:00:00+05:30,-1,NIFTY05JAN2318250CE,18250.0,77.3,72.5,4.799999999999997
2023-01-04 10:25:00+05:30,1,NIFTY05JAN2318150CE,18150.0,68.6,67.8,-0.7999999999999972
2023-01-04 10:50:00+05:30,-1,NIFTY05JAN2318150CE,18150.0,63.35,62.6,0.75
2023-01-04 11:30:00+05:30,1,NIFTY05JAN2318100CE,18100.0,76.5,74.45,-2.049999999999997
2023-01-04 11:50:00+05:30,-1,NIFTY05JAN2318100CE,18100.0,66.7,66.6,0.10000000000000853
2023-01-04 12:25:00+05:30,1,NIFTY05JAN2318050CE,18050.0,79.75,77.95,-1.7999999999999972
2023-01-04 14:25:00+05:30,-1,NIFTY05JAN2318100CE,18100.0,57.9,55.65,2.25
2023-01-05 09:20:00+05:30,1,NIFTY05JAN2318050CE,18050.0,54.75,49.9,-4.850000000000001
